algorithm,data_type,n,run_id,time_sec,inspections
verificaAlgo,desc,700,7,53.71771382,610750000
linearSearch,desc,700,7,0.00000011,1
verificaAlgo,desc,700,8,53.54436586,610750000
linearSearch,desc,700,8,0.00000011,1
verificaAlgo,desc,700,9,53.67703616,610750000
linearSearch,desc,700,9,0.00000013,1
verificaAlgo,desc,700,10,53.73488835,610750000
linearSearch,desc,700,10,0.00000012,1
verificaAlgo,desc,700,11,53.83670255,610750000
linearSearch,desc,700,11,0.00000013,1
verificaAlgo,desc,700,12,53.65799420,610750000
linearSearch,desc,700,12,0.00000012,1
verificaAlgo,desc,700,13,53.59944468,610750000
linearSearch,desc,700,13,0.00000015,1
verificaAlgo,desc,1000,1,153.57643472,1247500000
linearSearch,desc,1000,1,0.00000016,1
verificaAlgo,desc,1000,2,153.89172106,1247500000
linearSearch,desc,1000,2,0.00000018,1
verificaAlgo,desc,1000,3,153.77190502,1247500000
linearSearch,desc,1000,3,0.00000018,1
verificaAlgo,desc,1000,4,153.76222395,1247500000
linearSearch,desc,1000,4,0.00000015,1
verificaAlgo,desc,1000,5,153.63245621,1247500000
linearSearch,desc,1000,5,0.00000017,1
verificaAlgo,desc,1000,6,153.59514560,1247500000
linearSearch,desc,1000,6,0.00000016,1
verificaAlgo,desc,1000,7,153.74743491,1247500000
linearSearch,desc,1000,7,0.00000015,1
verificaAlgo,desc,1000,8,153.79066512,1247500000
linearSearch,desc,1000,8,0.00000015,1
verificaAlgo,desc,1000,9,154.45195865,1247500000
linearSearch,desc,1000,9,0.00000017,1
verificaAlgo,desc,1000,10,155.59700294,1247500000
linearSearch,desc,1000,10,0.00000019,1
verificaAlgo,desc,1000,11,154.91706173,1247500000
linearSearch,desc,1000,11,0.00000019,1
verificaAlgo,desc,1000,12,153.88902278,1247500000
linearSearch,desc,1000,12,0.00000022,1
verificaAlgo,desc,1000,13,154.58270582,1247500000
linearSearch,desc,1000,13,0.00000018,1
